,modType,Params,Hidden_Layers,GridSize,Error
519,MLP,2508,3,,120458179.99211791
520,KAN,1152,3,3.0,110058994.16908261
521,MLP,1141,2,,129324942.91194323
522,KAN,2919,2,7.0,117247638.67736614
523,MLP,2318,4,,141102310.61710584
524,KAN,1548,4,4.0,115553545.15208565
525,MLP,1739,2,,127155232.9758235
526,KAN,4095,2,7.0,117887332.00488119
527,MLP,2420,4,,132903071.74499923
528,KAN,3870,4,10.0,117401784.77579662
529,MLP,3387,4,,119551342.84215674
530,KAN,3078,4,6.0,116591056.86685407
531,MLP,1287,4,,118460007.4760642
532,KAN,3720,4,8.0,124875594.20322372
533,MLP,3099,5,,140896620.98279405
534,KAN,8604,5,12.0,128922937.0268414
535,MLP,1893,3,,117711987.85790595
536,KAN,6138,3,11.0,125824999.96800908
537,MLP,668,1,,127648789.97960046
538,KAN,1296,1,8.0,117506403.78886119
539,MLP,3834,5,,124938540.08264634
540,KAN,6708,5,13.0,120277525.04551744
541,MLP,4079,3,,119549406.59407896
542,KAN,2325,3,5.0,117643028.3656027
543,MLP,1299,3,,120910243.44108802
544,KAN,4050,3,9.0,118441186.3056762
545,MLP,1141,2,,123006780.23316482
546,KAN,7515,2,15.0,125481439.10508844
547,MLP,451,2,,138127791.4419561
548,KAN,3330,2,10.0,139633045.1766924
549,MLP,987,1,,112244050.76619707
550,KAN,1620,1,10.0,117460753.51878223
551,MLP,1273,3,,113385900.25017019
552,KAN,3150,3,7.0,114624589.95509523
553,MLP,4543,4,,113304518.00345273
554,KAN,3024,4,8.0,142254671.79901633
555,MLP,1593,3,,125866271.15015428
556,KAN,1920,3,4.0,132370247.9140846
557,MLP,1929,3,,121287185.63712089
558,MLP,3445,5,,123145308.40629835
559,KAN,7137,5,13.0,112595963.0092036
560,MLP,2618,3,,122865448.15183344
561,KAN,1740,3,4.0,231154594.57816985
562,MLP,863,2,,112427144.69194958
563,KAN,4170,2,10.0,115588846.52216187
564,MLP,3032,3,,115647305.04729885
565,KAN,3348,3,9.0,121962450.47934218
566,MLP,959,2,,130449663.28566903
567,KAN,3507,2,7.0,114439240.47115414
568,MLP,4036,4,,128130505.30661903
569,KAN,4053,4,7.0,113583054.19998619
570,MLP,1650,2,,124696163.3558812
571,KAN,4662,2,14.0,116003414.94770859
572,MLP,1045,1,,125892633.6335986
573,KAN,2268,1,14.0,116220238.6845194
574,MLP,3639,4,,131641999.86558257
575,KAN,10485,4,15.0,140010831.32991695
576,MLP,2215,3,,123069405.79713485
577,KAN,2700,3,6.0,133878054.79765908
578,MLP,3735,4,,156974185.86390546
579,MLP,475,2,,117954081.50290407
580,KAN,4995,2,15.0,116319279.6003028
